City,2019,2020,2021
"Norwich-New London, CT",58362,61222.0,63877.0
"Ocala, FL",39153,41960.0,45152.0
"Ocean City, NJ",63302,68326.0,72010.0
"Odessa, TX",52948,49351.0,53610.0
"Ogden-Clearfield, UT",45219,48521.0,52305.0
"Oklahoma City, OK",51658,53706.0,57150.0
"Olympia-Lacey-Tumwater, WA",52297,56527.0,61062.0
"Omaha-Council Bluffs, NE-IA",58393,60450.0,64229.0
"Orlando-Kissimmee-Sanford, FL",45562,48160.0,53102.0
"Oshkosh-Neenah, WI",49145,51751.0,55202.0
"Owensboro, KY",42264,45772.0,49859.0
"Oxnard-Thousand Oaks-Ventura, CA",63833,68647.0,73375.0
"Palm Bay-Melbourne-Titusville, FL",48725,51769.0,55477.0
"Panama City, FL",46452,50394.0,53980.0
"Parkersburg-Vienna, WV",45987,47599.0,51674.0
"Pensacola-Ferry Pass-Brent, FL",45744,48643.0,52548.0
"Peoria, IL",48555,52586.0,55784.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",64723,68200.0,72379.0
"Phoenix-Mesa-Chandler, AZ",50757,54907.0,58308.0
"Pine Bluff, AR",34327,37597.0,41416.0
"Pittsburgh, PA",58396,62103.0,65730.0
"Pittsfield, MA",56861,61586.0,65050.0
"Pocatello, ID",39418,42732.0,45244.0
"Portland-South Portland, ME",60019,64306.0,68555.0
"Portland-Vancouver-Hillsboro, OR-WA",59189,63256.0,68374.0
"Port St. Lucie, FL",59414,61706.0,66630.0
"Poughkeepsie-Newburgh-Middletown, NY",55119,58736.0,62428.0
"Prescott Valley-Prescott, AZ",43306,47203.0,49060.0
"Providence-Warwick, RI-MA",55560,60347.0,64566.0
"Provo-Orem, UT",43996,47167.0,50616.0
"Pueblo, CO",39857,43513.0,46927.0
"Punta Gorda, FL",46707,49052.0,51677.0
"Racine, WI",50274,53005.0,56884.0
"Raleigh-Cary, NC",58285,61724.0,66428.0
"Rapid City, SD",54068,58442.0,61259.0
"Reading, PA",50657,55045.0,57970.0
"Redding, CA",46113,51514.0,54972.0
"Reno, NV",62103,65705.0,71489.0
"Richmond, VA",58865,61885.0,65834.0
"Riverside-San Bernardino-Ontario, CA",42326,46658.0,50384.0
"Roanoke, VA",46975,50394.0,53939.0
"Rochester, MN",55431,59428.0,63052.0
"Rochester, NY",51735,55794.0,58500.0
"Rockford, IL",44225,47650.0,51140.0
"Rocky Mount, NC",41793,44808.0,48812.0
"Rome, GA",39008,41411.0,44803.0
"Sacramento-Roseville-Folsom, CA",57151,62166.0,65972.0
"Saginaw, MI",42114,46419.0,49274.0
"St. Cloud, MN",48254,52432.0,55987.0
"St. George, UT",42732,45178.0,47162.0
"St. Joseph, MO-KS",40884,43689.0,46420.0
"St. Louis, MO-IL",57622,60949.0,64769.0
"Salem, OR",44540,48377.0,52971.0
"Salinas, CA",56313,61105.0,63449.0
"Salisbury, MD-DE",50308,52544.0,55698.0
"Salt Lake City, UT",52655,57114.0,61551.0
"San Angelo, TX",52389,56176.0,60187.0
"San Antonio-New Braunfels, TX",48819,50214.0,53648.0
"San Diego-Chula Vista-Carlsbad, CA",62533,67830.0,72637.0
"San Francisco-Oakland-Berkeley, CA",101569,110342.0,123711.0
"San Jose-Sunnyvale-Santa Clara, CA",111825,120805.0,136338.0
